timestamp_ms,total_time_us,preprocess_us,find_gap_us,find_best_point_us,control_us,scan_size,frequency_hz
1750577016901,53.001,11.7,5.0,3.8,1.3,1080,243.3
1750577016905,49.001,11.5,4.8,3.8,1.5,1080,222.4
1750577016909,33.084,12.0,4.5,3.6,0.5,1080,245.6
1750577016913,37.709,12.3,4.9,4.0,0.4,1080,269.8
1750577016916,40.500,11.8,4.9,3.9,0.5,1080,293.1
1750577016921,49.876,12.0,4.8,3.7,1.4,1080,234.8
1750577016925,63.585,11.0,5.0,3.8,0.9,1080,254.8
1750577016929,47.334,11.5,4.8,4.0,1.7,1080,225.8
1750577016933,41.918,11.0,4.8,3.7,0.5,1080,282.2
1750577016937,57.460,12.0,4.9,3.7,1.1,1080,257.7
1750577016941,45.418,11.7,4.9,4.1,1.0,1080,241.6
1750577016945,59.084,12.3,4.8,3.9,1.1,1080,216.0
1750577016961,51.459,12.0,4.9,3.8,1.2,1080,64.5
1750577016964,55.001,11.5,4.9,3.7,0.9,1080,269.1
1750577016969,53.876,11.9,5.2,3.8,1.6,1080,214.9
1750577016979,43.917,12.4,4.9,3.9,1.5,1080,98.0
1750577016981,49.542,11.0,5.0,3.6,0.7,1080,815.6
1750577016985,69.876,12.1,5.1,3.6,1.1,1080,240.6
1750577016989,53.168,11.5,4.8,3.9,0.8,1080,234.4
