timestamp,total_time_ms,preprocess_ms,find_gap_ms,find_best_point_ms,control_ms,scan_size,frequency_hz
1750584584593,0.041,0.014,0.005,0.004,0.001,1080,245.7
1750584584597,0.054,0.013,0.005,0.004,0.001,1080,227.6
1750584584601,0.046,0.013,0.004,0.004,0.001,1080,282.2
1750584584605,0.054,0.014,0.005,0.004,0.001,1080,240.7
1750584584609,0.047,0.014,0.005,0.004,0.002,1080,247.6
1750584584613,0.037,0.013,0.004,0.004,0.000,1080,226.3
1750584584617,0.036,0.013,0.004,0.004,0.000,1080,264.9
1750584584621,0.045,0.014,0.005,0.004,0.000,1080,237.3
1750584584625,0.056,0.015,0.005,0.004,0.001,1080,294.4
1750584584629,0.129,0.013,0.005,0.004,0.001,1080,247.4
1750584584633,0.050,0.013,0.004,0.004,0.001,1080,225.9
1750584584638,0.056,0.014,0.005,0.004,0.001,1080,218.8
1750584584641,0.064,0.014,0.005,0.004,0.001,1080,280.5
1750584584645,0.040,0.014,0.005,0.004,0.000,1080,248.2
1750584584649,0.041,0.013,0.004,0.003,0.000,1080,300.4
1750584584653,0.035,0.014,0.005,0.004,0.000,1080,232.1
1750584584657,0.042,0.014,0.005,0.004,0.001,1080,237.8
1750584584661,0.048,0.014,0.005,0.004,0.001,1080,283.9
1750584584665,0.049,0.014,0.004,0.004,0.001,1080,245.1
1750584584669,0.046,0.014,0.005,0.004,0.001,1080,253.4
1750584584673,0.059,0.014,0.005,0.004,0.001,1080,223.5
1750584584678,0.046,0.014,0.005,0.004,0.001,1080,216.7
1750584584681,0.039,0.016,0.004,0.004,0.000,1080,356.2
1750584584685,0.044,0.014,0.004,0.004,0.000,1080,246.0
1750584584689,0.041,0.014,0.004,0.004,0.001,1080,250.4
1750584584693,0.046,0.013,0.005,0.004,0.001,1080,251.3
1750584584697,0.058,0.014,0.005,0.004,0.002,1080,219.1
1750584584701,0.058,0.014,0.005,0.004,0.001,1080,277.6
1750584584705,0.052,0.015,0.005,0.004,0.001,1080,250.7
1750584584709,0.036,0.013,0.004,0.004,0.001,1080,264.0
1750584584713,0.039,0.015,0.004,0.004,0.000,1080,209.8
1750584584718,0.044,0.014,0.005,0.004,0.001,1080,232.0
1750584584721,0.049,0.015,0.005,0.004,0.001,1080,329.7
1750584584725,0.048,0.013,0.004,0.004,0.001,1080,252.6
1750584584729,0.046,0.014,0.005,0.004,0.001,1080,243.7
1750584584733,0.061,0.014,0.005,0.004,0.001,1080,245.0
1750584584737,0.054,0.014,0.005,0.004,0.002,1080,227.8
1750584584741,0.030,0.013,0.004,0.003,0.000,1080,252.2
1750584584745,0.046,0.014,0.005,0.004,0.000,1080,244.0
1750584584749,0.048,0.014,0.004,0.004,0.000,1080,298.0
1750584584753,0.060,0.015,0.005,0.004,0.001,1080,246.5
1750584584757,0.048,0.013,0.004,0.004,0.001,1080,226.7
1750584584761,0.053,0.014,0.004,0.004,0.001,1080,280.0
1750584584765,0.060,0.015,0.005,0.004,0.001,1080,241.4
1750584584769,0.046,0.014,0.005,0.004,0.002,1080,252.2
1750584584773,0.034,0.013,0.004,0.004,0.000,1080,263.5
1750584584778,0.051,0.014,0.005,0.004,0.000,1080,190.8
1750584584781,0.040,0.014,0.005,0.004,0.000,1080,351.1
1750584584785,0.051,0.014,0.004,0.004,0.001,1080,249.3
1750584584789,0.047,0.014,0.005,0.004,0.001,1080,253.9
1750584584793,0.056,0.014,0.004,0.004,0.001,1080,241.3
1750584584798,0.075,0.015,0.005,0.004,0.001,1080,216.2
1750584584801,0.049,0.015,0.005,0.005,0.001,1080,293.7
1750584584806,0.040,0.014,0.005,0.004,0.000,1080,218.2
1750584584809,0.049,0.013,0.004,0.004,0.000,1080,301.8
1750584584814,0.041,0.016,0.005,0.004,0.000,1080,214.0
1750584584817,0.060,0.015,0.005,0.004,0.001,1080,263.8
1750584584821,0.057,0.013,0.004,0.004,0.001,1080,284.3
1750584584825,0.050,0.013,0.004,0.004,0.001,1080,247.8
1750584584829,0.049,0.014,0.005,0.004,0.001,1080,243.1
1750584584833,0.051,0.014,0.005,0.004,0.001,1080,245.6
1750584584837,0.042,0.014,0.004,0.003,0.001,1080,239.7
1750584584841,0.044,0.013,0.004,0.003,0.000,1080,235.8
1750584584845,0.038,0.014,0.005,0.004,0.001,1080,252.5
1750584584849,0.048,0.014,0.005,0.004,0.001,1080,291.7
1750584584853,0.047,0.014,0.005,0.004,0.001,1080,250.9
1750584584857,0.047,0.013,0.004,0.004,0.001,1080,222.2
1750584584861,0.045,0.014,0.004,0.004,0.001,1080,278.7
1750584584865,0.056,0.015,0.005,0.004,0.001,1080,243.0
1750584584869,0.039,0.013,0.004,0.004,0.001,1080,263.9
1750584584873,0.040,0.013,0.004,0.003,0.000,1080,252.2
1750584584878,0.031,0.014,0.005,0.004,0.000,1080,197.7
1750584584888,0.049,0.014,0.005,0.004,0.001,1080,97.1
1750584584889,0.037,0.013,0.004,0.003,0.000,1080,1650.4
1750584584893,0.057,0.014,0.005,0.004,0.001,1080,235.9
1750584584897,0.053,0.014,0.005,0.004,0.002,1080,222.7
1750584584901,0.031,0.013,0.004,0.003,0.000,1080,259.9
1750584584905,0.033,0.014,0.005,0.004,0.000,1080,246.8
1750584584909,0.032,0.014,0.004,0.004,0.000,1080,293.3
1750584584913,0.042,0.014,0.005,0.004,0.001,1080,245.5
1750584584917,0.038,0.013,0.004,0.004,0.001,1080,226.9
1750584584921,0.038,0.013,0.004,0.004,0.001,1080,279.2
1750584584925,0.049,0.014,0.005,0.004,0.001,1080,243.5
1750584584929,0.055,0.014,0.005,0.004,0.001,1080,251.1
1750584584934,0.045,0.013,0.004,0.003,0.001,1080,206.6
1750584584938,0.061,0.014,0.004,0.004,0.001,1080,253.4
1750584584941,0.037,0.013,0.004,0.004,0.000,1080,323.5
1750584584945,0.055,0.013,0.004,0.004,0.001,1080,243.6
1750584584949,0.047,0.013,0.004,0.004,0.001,1080,245.2
1750584584953,0.042,0.014,0.004,0.004,0.001,1080,231.4
1750584584958,0.044,0.014,0.005,0.004,0.001,1080,218.6
1750584584961,0.057,0.014,0.005,0.004,0.001,1080,294.6
1750584584965,0.037,0.013,0.004,0.004,0.000,1080,260.2
1750584584969,0.040,0.013,0.004,0.004,0.001,1080,278.2
1750584584974,0.049,0.014,0.005,0.004,0.002,1080,202.6
1750584584978,0.048,0.013,0.005,0.004,0.001,1080,234.9
1750584584981,0.065,0.014,0.004,0.004,0.001,1080,336.6
